,rank,song,artist,peak-rank,weeks-on-board
182872,73,The Captain Of Her Heart,Double,16,18
182880,81,Money$ Too Tight (To Mention),Simply Red,28,15
182883,84,25 Or 6 To 4,Chicago,4,20
182886,87,Love Always,El DeBarge,43,12
182890,91,What Does It Take,Honeymoon Suite,52,16
182891,92,Stairway To Heaven,Far Corporation,89,4
182894,95,Ain't Nothin' Goin' On But The Rent,Gwen Guthrie,42,13
182895,96,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,1,21
182896,97,Gravity,James Brown,93,2
182897,98,"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald,7,20
182898,99,Papa Don't Preach,Madonna,1,18
182899,100,Another Heartache,Rod Stewart,52,9
182987,88,Rumors,Timex Social Club,8,19
182990,91,Private Number,The Jets,47,11
182991,92,Love Comes Quickly,Pet Shop Boys,62,8
182994,95,Count Your Blessings,Ashford & Simpson,84,4
182995,96,I Feel The Magic,Belinda Carlisle,82,5
182996,97,Fall On Me,R.E.M.,94,3
182998,99,Runaway,Luis Cardenas,83,5
182999,100,"So Far So Good (From ""About Last Night"")",Sheena Easton,43,12
183071,72,Press,Paul McCartney,21,11
183080,81,Spirit In The Sky,Doctor And The Medics,69,11
183084,85,"Man Size Love (From ""Running Scared"")",Klymaxx,15,15
183089,90,It's You,Bob Seger,52,9
183094,95,The Other Side Of Life,The Moody Blues,58,9
183095,96,Velcro Fly,ZZ Top,35,12
183097,98,We Don't Have To Take Our Clothes Off,Jermaine Stewart,5,22
183098,99,Yankee Rose,David Lee Roth,16,15
183099,100,Wrap It Up,The Fabulous Thunderbirds,50,10
183184,85,Mad About You,Belinda Carlisle,3,21
183189,90,"That Was Then, This Is Now",The Monkees,20,14
183196,97,"Oh, People",Patti LaBelle,29,12
183198,99,Somebody Like You,Thirty Eight Special,48,12
183199,100,Taken In,Mike + The Mechanics,32,15
183285,86,You Should Be Mine (The Woo Woo Song),Jeffrey Osborne,13,19
183288,89,Eye Of The Zombie,John Fogerty,81,4
183289,90,Nothing In Common,Thompson Twins,54,10
183291,92,Sledgehammer,Peter Gabriel,1,21
183293,94,Danger Zone,Kenny Loggins,2,21
183295,96,Lonely Is The Night,Air Supply,76,8
183296,97,Love Of A Lifetime,Chaka Khan,53,12
183297,98,The Edge Of Heaven,Wham!,10,13
183298,99,"Love Touch (Theme From ""Legal Eagles"")",Rod Stewart,6,18
183299,100,The Hunter,GTR,85,6
183388,89,Take It Easy,Andy Taylor,24,17
183390,91,All The Love In The World,The Outfield,19,16
183394,95,Anotherloverholenyohead,Prince And The Revolution,63,10
183395,96,Rumbleseat,John Mellencamp,28,13
183396,97,Ruthless People,Mick Jagger,51,8
183397,98,Invisible Touch,Genesis,1,17
183399,100,Nasty,Janet Jackson,3,19
183489,90,One Step Closer To You,Gavin Christopher,22,17
183490,91,Hanging On A Heart Attack,Device,35,14
183491,92,Suzanne,Journey,17,13
183492,93,Angel In My Pocket,One To One,92,4
183494,95,"Walk Like A Man (From ""A Fine Mess"")",Mary Jane Girls,41,10
183495,96,"Modern Woman (From ""Ruthless People"")",Billy Joel,10,15
183496,97,If Looks Could Kill,Heart,54,9
183497,98,No One Is To Blame,Howard Jones,4,23
183498,99,Opportunities (Let's Make Lots Of Money),Pet Shop Boys,10,16
183499,100,Walk Away Renee,Southside Johnny & The Jukes,98,5
183593,94,Your Wildest Dreams,The Moody Blues,9,21
183595,96,Holding Back The Years,Simply Red,1,23
183596,97,There'll Be Sad Songs (To Make You Cry),Billy Ocean,1,21
183598,99,Digging Your Scene,The Blow Monkeys,14,19
183693,94,A Kind Of Magic,Queen,42,11
183694,95,Weatherman,Nick Jameson,95,2
183696,97,Am I Forgiven,Isle Of Man,90,4
183697,98,"Who's Johnny (""Short Circuit"" Theme)",El DeBarge,3,19
183699,100,No Promises,Icehouse,79,9
183787,88,On My Own,Patti LaBelle & Michael McDonald,1,23
183788,89,Secret Separation,The Fixx,19,14
183790,91,Hyperactive,Robert Palmer,33,12
183793,94,When The Heart Rules The Mind,GTR,14,16
183795,96,Tuff Enuff,The Fabulous Thunderbirds,10,19
183796,97,With You All The Way,New Edition,51,11
183798,99,Dreams,Van Halen,22,14
183799,100,Crush On You,The Jets,3,20
183888,89,Before I Go,Starship,68,7
183890,91,Like A Rock,Bob Seger,12,13
183893,94,Hot Water,Level 42,87,4
183894,95,Like No Other Night,Thirty Eight Special,14,16
183898,99,Victory Line,Limited Warranty,79,8
183899,100,Something About You,Level 42,7,27
183979,80,Jungle Boy,John Eddie,52,10
183984,85,I Can't Wait,Nu Shooz,3,23
183990,91,Touch And Go,"Emerson, Lake & Powell",60,8
183992,93,I Wanna Be A Cowboy,Boys Don't Cry,12,19
183993,94,A Different Corner,George Michael,7,16
183996,97,I'm Your Man,Barry Manilow,86,5
183997,98,The Finest,The S.O.S. Band,44,13
183998,99,If She Knew What She Wants,The Bangles,29,14
183999,100,Live To Tell,Madonna,1,18
184087,88,Rock'N'roll To The Rescue,The Beach Boys,68,6
184088,89,Do You Remember Me?,Jermaine Jackson,71,5
184091,92,Mountains,Prince And The Revolution,23,11
184092,93,Voice Of America's Sons,John Cafferty & The Beaver Brown Band,62,8
184093,94,Nothin' At All,Heart,10,16
184095,96,The Best Of Me,David Foster And Olivia Newton-John,80,8
184096,97,One Way Love,TKA,75,9
184097,98,If Anybody Had A Heart,John Waite,76,6
184098,99,You Don't Have To Cry,Rene & Angela,75,7
184099,100,Feel The Heat,Jean Beauvoir,73,8
184187,88,Peter Gunn,The Art Of Noise Featuring Duane Eddy,50,11
184188,89,All I Need Is A Miracle,Mike + The Mechanics,5,19
184190,91,Headlines,Midnight Star,69,7
184191,92,Headed For The Future,Neil Diamond,53,10
184197,98,One Hit (To The Body),The Rolling Stones,28,11
184198,99,Vienna Calling,Falco,18,14
184199,100,Living On Video,Trans-X,61,12
184292,93,If You Leave,Orchestral Manoeuvres In The Dark,4,20
184293,94,Don Quichotte,Magazine 60,56,11
184294,95,In The Shape Of A Heart,Jackson Browne,70,7
184295,96,Out Of Mind Out Of Sight,Models,37,13
184296,97,School's Out,Krokus,67,7
184297,98,I Wouldn't Lie,Yarbrough & Peoples,93,4
184298,99,Be Good To Yourself,Journey,9,15
184299,100,Is It Love,Mr. Mister,8,17
184382,83,Bad Boy,Miami Sound Machine,8,19
184395,96,This Is The Time,Dennis DeYoung,93,3
184396,97,West End Girls,Pet Shop Boys,1,20
184397,98,Your Love,The Outfield,6,22
184398,99,What Have You Done For Me Lately,Janet Jackson,4,21
