,title,all_artists,popularity
0,Dreamlover,Mariah Carey,58
1,What Would I Do Without You,Ray Charles,34
2,Sparks Will Fly - Remastered,The Rolling Stones,31
3,Window Shopper,Nickelback,23
4,Food Innuendo Guy,Adam Sandler,19
5,A Thing Called Love,Johnny Cash,51
6,Please Don't Tell Her,Jason Mraz,30
7,Flowers,Brad Paisley,23
8,Do You Know? (The Ping Pong Song),Enrique Iglesias,54
9,It Should've Been Me,Ray Charles,26
10,Nothing Else Matters,Metallica,77
11,All Hands Against His Own,The Black Keys,34
12,If 'n I Was God,Michael Jackson,20
13,Where Do I Hide,Nickelback,47
14,Sinner's Prayer,Ray Charles,39
15,Come On Everybody,Eminem,27
16,Miss You,Enrique Iglesias,29
17,Out Take 3,Brad Paisley,14
18,Blitzkrieg - Remastered,Metallica,43
19,Je ne vous oublie pas - inédit,Céline Dion,36
20,Gone Too Soon,Michael Jackson,49
21,Me and Mrs. Jones,Michael Bublé,54
22,Just For,Nickelback,25
23,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,73
24,The Goat Song,Adam Sandler,20
25,"My Love Will Not Let You Down - Live at Madison Square Garden, New York, NY - June/July 2000",Bruce Springsteen,30
26,Twin,Muse,25
27,Wrapped Around,Brad Paisley,43
28,Life in Technicolor ii,Coldplay,51
29,The Midnight Hour,Ray Charles,25
30,"The Hands That Built America - Theme From ""Gangs Of New York""",U2,34
31,Le Ballet - Demo Version (BPM78),Céline Dion,15
32,You've Really Got A Hold On Me,Michael Jackson,26
33,Be With You,Enrique Iglesias,53
34,Mother Love - 2011 Remaster,Queen,43
35,Home - Live from Madison Square Garden,Michael Bublé,33
36,Until It Sleeps,Metallica,58
37,Start Me Up,The Rolling Stones,40
38,Can't Take My Eyes off You,Muse,56
39,Human After All - Alter Ego Remix,Daft Punk,18
40,One Step Closer,Linkin Park,74
41,Supermassive Black Hole,Muse,75
42,Drift Away,Ray Charles,14
43,Teddys and Hearts,Mannheim Steamroller,1
44,Eyes On Me,Céline Dion,35
45,Leader of Men,Nickelback,49
46,American Idiot,Green Day,76
47,Rock Bottom,Eminem,55
48,She Comes Home to Me,Adam Sandler,1
49,America the Beautiful,Ray Charles,40
50,Fight for All the Wrong Reasons,Nickelback,42
51,Masters in This Hall,Mannheim Steamroller,2
52,Act II: T.I.,T.I.,25
53,Earth Song,Michael Jackson,63
54,Repairs,John Frizzell,1
55,Misled,Céline Dion,35
56,It's Your Money$,James Brown,10
57,240 Years Before Your Time,The Black Keys,29
58,The Goldrush,Coldplay,31
59,Joseph Dear Oh Joseph Mine,Mannheim Steamroller,1
60,Get Off Of My Cloud - Mono Version,The Rolling Stones,53
61,Holdin' On to You,Brad Paisley,21
62,Marshall Mathers,Eminem,58
63,Wire - Remastered 2009,U2,30
64,Sister Morphine - 2009 Mix,The Rolling Stones,44
65,P.Y.T. (Pretty Young Thing),Michael Jackson,69
66,Lying from You,Linkin Park,63
67,A Sort Of Homecoming - Live,U2,33
68,O Jaan-E-Man Jaan-E-Bahar,Nusrat Fateh Ali Khan,0
69,Stille Nacht (Silent Night),Mannheim Steamroller,13
70,When the Lights Go Out,The Black Keys,37
71,Ain't My Bitch,Metallica,47
72,Rock'n Roll,Daft Punk,39
73,I'm Straight,T.I.,32
74,The Arctic Warrior,John Frizzell,2
75,Alcohol,Brad Paisley,51
76,Across The Sea,Weezer,46
77,Yes,Coldplay,43
78,Sea Groove,Nickelback,23
79,I Wish - Live,Céline Dion,17
80,Mess Around,Ray Charles,55
81,Hero,Enrique Iglesias,67
82,My Mom,Eminem,61
83,Rosalita (Come Out Tonight),Bruce Springsteen,52
84,Speak Softly Love,"Harry Connick, Jr.",5
85,Everything's Not Lost - Live in Sydney,Coldplay,33
86,Previously,Brad Paisley,13
87,Smile,Weezer,37
88,King Of Soul,James Brown,2
89,I Had a Dream,Ray Charles,17
90,Why Bother?,Weezer,49
91,Gagliarda,Mannheim Steamroller,7
92,Throttleneck,Brad Paisley,20
93,Shut Out The Light - Single B-Side - 1984,Bruce Springsteen,23
94,The Flame,The Black Keys,34
95,Through The Rain,Mariah Carey,51
96,Zittly Van Zittles,Adam Sandler,0
97,Welcome My Son,Adam Sandler,6
98,No One Else,Weezer,50
99,Map of the Problematique,Muse,56
100,I Want to Be Alone,Green Day,21
101,Always on My Mind,Michael Bublé,56
102,The Respect Chant,Adam Sandler,6
103,Cadillac Ranch,Bruce Springsteen,42
104,Scarlet - Remastered 2008,U2,24
105,He Didn't Have to Be,Brad Paisley,44
106,Whatsername,Green Day,55
107,Must Be The Ganja,Eminem,53
108,Love Story,Mariah Carey,37
109,Criminal,Eminem,59
110,Kissa Me Baby,Ray Charles,7
111,Man Gave Names to All the Animals - From the Gospel Collection Sessions,Jason Mraz,24
112,The Souls Ascend,John Frizzell,16
113,Worthy to Say,Nickelback,27
114,Trapecista,Enrique Iglesias,52
115,Mercyful Fate,Metallica,42
116,I Can't Be Satisfied,The Rolling Stones,24
117,Wild Honey,U2,37
118,The Dynamo of Volition,Jason Mraz,32
119,My Little Box,John Frizzell,26
120,Bye Bye,Mariah Carey,59
121,Session,Linkin Park,50
122,Waiting On A Friend,The Rolling Stones,28
123,Remember the Alamo,Johnny Cash,27
124,I've Been Better,Brad Paisley,22
125,Get On The Good Foot - Pt. 1,James Brown,42
126,Escapar,Enrique Iglesias,50
127,The Christmas Waltz,"Harry Connick, Jr.",10
128,Minimum,Muse,27
129,Nice 'n Easy,Michael Bublé,32
130,My Girl,The Rolling Stones,38
131,I'm Gonna Sit on the Porch and Pick on My Old Guitar,Johnny Cash,20
132,Marta,Enrique Iglesias,29
133,American Idiot,Green Day,76
134,I'm Alive,Céline Dion,66
135,Vertigo,U2,64
136,"Give It Up, Turn It Loose (Live)",James Brown,4
137,"It's A Man's, Man's, Man's World",James Brown & The Famous Flames,61
138,Highway Patrolman,Bruce Springsteen,37
139,The Kids,Eminem,42
140,You Can't Catch Me,The Rolling Stones,27
141,Live In The Sky,T.I.,38
142,Une colombe,Céline Dion,20
143,The Soviet Plane,John Frizzell,0
144,The Last Carnival,Bruce Springsteen,24
145,The Show Must Go On,Queen,61
146,My Baby Does Me - Remastered 2011,Queen,30
147,Someone That You're With,Nickelback,39
148,Can't Take That Away (Mariah's Theme),Mariah Carey,47
149,New York City Serenade,Bruce Springsteen,36
150,Stay Here Tonight,Enrique Iglesias,30
151,With You,Linkin Park,61
152,"Racing In The Street - Live at Meadowlands Arena, E. Rutherford, NJ - July 1981",Bruce Springsteen,35
153,A Man And A Woman,U2,37
154,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,72
155,Too Much Too Soon,Green Day,43
156,When the Wrong One Loves You Right,Céline Dion,33
157,Is It Raining at Your House,Brad Paisley,26
158,George Simmons Soon Will Be Gone,Adam Sandler,5
159,The Breaks,The Black Keys,44
160,Papa Was a Good Man,Johnny Cash,13
161,Have Love Will Travel,The Black Keys,45
162,Welcome Home (Sanitarium) - Remastered,Metallica,56
163,Shikwa,Nusrat Fateh Ali Khan,6
164,You'll Never Find Another Love like Mine,Michael Bublé,44
165,Finding Gold,John Frizzell,11
166,Delfy Is Down,John Frizzell,0
167,Tamarin Monkeys,Mannheim Steamroller,3
168,Hello Mary Lou (Goodbye Heart) - Live At Wembley Stadium / July 1986,Queen,34
169,Bleed It Out,Linkin Park,72
170,Hyper Music,Muse,44
171,The Remedy (I Won't Worry),Jason Mraz,58
172,Too Tough,The Rolling Stones,14
173,Thriller,Michael Jackson,67
174,Minority,Green Day,59
175,Sugartime,Johnny Cash,12
176,Horseshoes and Handgrenades,Green Day,27
177,The Little Things Give You Away - Live,Linkin Park,31
178,Local Hero,Bruce Springsteen,28
179,Soul Power (Part 1) - Single Version,James Brown,8
180,All to Myself Alone,Ray Charles,16
181,Another Year Has Gone By,Céline Dion,28
182,We Won!,John Frizzell,0
183,Goodbye Little Darlin',Johnny Cash,19
184,Farewell My Summer Love,Michael Jackson,37
185,Tired Of Being Sorry,Enrique Iglesias,49
186,New Year's Day,U2,60
187,Sway,Michael Bublé,75
188,"Hallelujah, I Love Her So",Ray Charles,60
189,Main Title,John Frizzell,0
190,Enter Sandman,Metallica,78
191,Endless Deep - Remastered,U2,23
192,Parade Of The Wooden Soldiers,"Harry Connick, Jr.",7
193,Absolutely Zero,Jason Mraz,28
194,All I Want for Christmas Is You (Mariah's New Dance Mix 2009),Mariah Carey,8
195,That’s Enough,Johnny Cash,8
196,The Chanukah Song Part II - Live,Adam Sandler,1
197,Highwire - Live / Remastered 2009,The Rolling Stones,25
198,Outtake #2 - Hidden Track,Brad Paisley,13
199,We're Almost There,Michael Jackson,29
200,Kise Da Yaar Nah Vichhre,Nusrat Fateh Ali Khan,15
201,"Welcome Christmas, Reprise",Mannheim Steamroller,0
202,If It Kills Me,Jason Mraz,33
203,Bring 'Em Home,Bruce Springsteen,27
204,Fight,The Rolling Stones,15
205,The World Has Turned And Left Me Here,Weezer,53
206,Beverly Hills,Weezer,69
207,Every Chance I Get,T.I.,35
208,Twenty Five Miles,Michael Jackson,14
209,Because of You,Nickelback,43
210,Miracle,Céline Dion,33
211,Cloud of Dust,Brad Paisley,18
212,"Run Softly, Blue River",Johnny Cash,18
213,Out Of Sight - Single Version,James Brown,42
214,Book Review,Johnny Cash,20
215,Inalcanzable,Enrique Iglesias,44
216,For Whom The Bell Tolls - Remastered,Metallica,69
217,Metal Militia - Remastered,Metallica,46
218,The Gay Robot Groove - The Passengerz Mix,Adam Sandler,2
219,Berceuse,Céline Dion,19
220,Na Jaween Dholna,Nusrat Fateh Ali Khan,0
221,Still Don't Give A Fuck,Eminem,55
222,Freak Though,T.I.,11
223,American Gigolo,Weezer,32
224,My Life,T.I.,31
225,What a Friend We Have in Jesus,Brad Paisley,27
226,Introduction,Céline Dion,22
227,Lost!,Coldplay,50
228,I Can't Quit,T.I.,27
229,Lying from You,Linkin Park,63
230,The Affadasies,John Frizzell,0
231,Todo Mi Amor Eres Tu (I Just Can't Stop Loving You),Michael Jackson,41
232,Same Song & Dance,Eminem,49
233,Falls Back On,Nickelback,23
234,2000 Light Years Away,Green Day,35
235,Unchain My Heart,Ray Charles,45
236,Assassin,Muse,53
237,Devil's Dance,Metallica,52
238,The Ego Song,Ray Charles,1
239,The Nervous Breakdown - Instrumental,Brad Paisley,20
240,Hate This and I'll Love You - Live; Acoustic,Muse,21
241,The Unforgiven III,Metallica,58
242,Departure,Brad Paisley,16
243,Highland Fling,The Rolling Stones,17
244,I Still Haven't Found What I'm Looking For,U2,75
245,Charkhe Noon Pa De Naween Tand Sohnia,Nusrat Fateh Ali Khan,0
246,You Need Me,Mariah Carey,32
247,Haq Ali Ali Maula,Nusrat Fateh Ali Khan,34
248,Gave It A Name - Studio Outtake - 1998,Bruce Springsteen,22
249,The Bodies,John Frizzell,1
250,Crescendolls,Daft Punk,54
251,Caldonia,James Brown,34
252,It's the Falling in Love,Michael Jackson,49
253,You Don't Know Me,Michael Bublé,49
254,Stuck with Me,Green Day,48
255,Feet First,John Frizzell,0
256,Thought I Knew,Weezer,15
257,Heat - Bonus Track,Mariah Carey,30
258,My December,Linkin Park,56
259,"Newlyweds, Sleepyheads",Adam Sandler,1
260,December,Weezer,28
261,One Night Stand,Enrique Iglesias,33
262,Motorbreath - Remastered,Metallica,54
263,Teachers - Extended Mix,Daft Punk,23
264,"Honey, Honey",Ray Charles,15
265,Thanx 4 Nothin',Mariah Carey,35
266,Stardust,"Harry Connick, Jr.",23
267,Hollywood,Nickelback,39
268,Thickfreakness,The Black Keys,49
269,Aa Ja Sajnan Udeekan Menoon Terian,Nusrat Fateh Ali Khan,0
270,Dost Kya Khoob Wafaon Ka Sila Dete Hain,Nusrat Fateh Ali Khan,7
271,Wake Me up When September Ends,Green Day,74
272,Can't Buy Me Love - Live,Michael Bublé,21
273,The Chanukah Song,Adam Sandler,34
274,Dip Doodle,Adam Sandler,22
275,Did You Get My Message?,Jason Mraz,32
276,Sad Sad Sad - Remastered,The Rolling Stones,28
277,High Speed,Coldplay,61
278,Almost Hear You Sigh,The Rolling Stones,23
279,You're My #1,Enrique Iglesias,44
280,"Sunday Morning Coming Down - Live at Ryman Auditorium, Nashville, TN - July 1970",Johnny Cash,51
281,Exit,U2,39
282,From the Inside,Linkin Park,64
283,Bad Seed,Metallica,40
284,Freak Me Out,Weezer,30
285,Baby (You've Got What It Takes) [with Sharon Jones & The Dap-Kings],Michael Bublé,36
286,If I Give You My Love,Ray Charles,14
287,Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,51
288,Old Enough,Nickelback,28
289,Where The Streets Have No Name,U2,54
290,Radio Nowhere,Bruce Springsteen,53
291,Sometimes You Can't Make It On Your Own,U2,56
292,A Foggy Day (In London Town),Michael Bublé,38
293,It Had Better Be Tonight (Meglio Stasera) - Eddie Amador's House Lovers Extra Love,Michael Bublé,11
294,I'm Gonna Miss Her,Brad Paisley,61
295,Crazy Little Thing Called Love,Queen,58
296,If You See Me,The Black Keys,32
297,There Was A Time - Kenny Dope Remix,James Brown & The Famous Flames,21
298,"D'Abord, C'est Quoi L'amour",Céline Dion,19
299,Pienso En Tí,Enrique Iglesias,31
300,No Llores por Mi,Enrique Iglesias,55
301,No Other One,Weezer,43
302,You're My Best Friend - Remastered 2011,Queen,65
303,Technologic - Peaches No Logic Remix,Daft Punk,23
304,Overdue,Muse,36
305,No Apologies,Eminem,45
306,Mofo,U2,36
307,Bijou - 2011 Remaster,Queen,35
308,Undisclosed Desires - Thin White Duke Remix,Muse,21
309,Walk To The Water,U2,30
310,City of Delusion - Live from Wembley Stadium,Muse,25
311,Human After All,Daft Punk,48
312,O Come All Ye Faithful,Johnny Cash,0
313,Man's Job,Bruce Springsteen,33
314,My Precious One,Céline Dion,32
315,Mr. Policeman,Brad Paisley,39
316,Butterfly,Weezer,41
317,Why You Wanna,T.I.,51
318,Say It,Enrique Iglesias,27
319,Of Wolf And Man,Metallica,51
320,The Amazing Willy Wanker,Adam Sandler,15
321,Crazy Love,Adam Sandler,15
322,She Drives Me Wild,Michael Jackson,43
323,Human Touch,Bruce Springsteen,60
324,Do the Rump,The Black Keys,36
325,Stories For Boys - Remastered 2008,U2,31
326,Partout Je Vois,Céline Dion,17
327,After You've Gone,"Harry Connick, Jr.",7
328,Jackson,Johnny Cash,61
329,The Storm Approaches,John Frizzell,0
330,The Unforgettable Fire - Remastered 2009,U2,51
331,The Simpsons Theme,Green Day,35
332,I'm Gonna Be the First One - PCM Stereo Version,"Harry Connick, Jr.",2
333,Dancin' and Pantsin',Adam Sandler,7
334,Creeping Death - Creeping Death EP Version / Remastered,Metallica,56
335,Hello,Eminem,50
336,"Across The Borderline - Live at Los Angeles Sports Arena, Los Angeles, CA - April 28, 1988",Bruce Springsteen,37
337,Enamorado Por Primera Vez,Enrique Iglesias,53
338,Smile,Michael Jackson,44
339,"Lost Someone - Live At The Apollo Theater, 1962",James Brown,20
340,Stockholm Syndrome,Muse,58
341,Square Dance,Eminem,41
342,Thunder Road,Bruce Springsteen,63
343,Still Don't Give A Fuck,Eminem,55
344,Mere Nabi Pyare Nabi,Nusrat Fateh Ali Khan,0
345,Try a Little Tenderness,Michael Bublé,38
346,"Harder, Better, Faster, Stronger - Alive Radio Edit 2007",Daft Punk,41
347,Mere Dholan Mahi Aa Ja Akhian Tars Gayan,Nusrat Fateh Ali Khan,6
348,Katie Disappears,John Frizzell,1
349,Dead Flowers - 2009 Mix,The Rolling Stones,56
350,She Be The One,Enrique Iglesias,28
351,Outtake #1 - Hidden Track,Brad Paisley,0
352,"Childhood (Theme from ""Free Willy 2"")",Michael Jackson,41
353,Dreamin',Weezer,18
354,Detangler,Nickelback,27
355,Mentiroso,Enrique Iglesias,49
356,Queen Of The Supermarket,Bruce Springsteen,28
357,"Streets of Fire - Live at Winterland Arena, San Francisco, CA - December 15, 1978",Bruce Springsteen,38
358,Gloria - Remastered 2008,U2,42
359,Paradise,Bruce Springsteen,42
360,Love You More,Eminem,47
361,Bleeding Me,Metallica,52
362,King Back,T.I.,34
363,Jumpin' Jack Flash,The Rolling Stones,62
364,Cavatina,Mannheim Steamroller,0
365,Bohemian Rhapsody - Remastered 2011,Queen,80
366,Faint,Linkin Park,72
367,Morphine,Michael Jackson,39
368,God Part II,U2,37
369,All the Time,Green Day,41
370,Photograph,Weezer,0
371,Keep Fishin',Weezer,43
372,Buffalo Bill,Eminem,47
373,Bliss,Mariah Carey,36
374,Lucky,Jason Mraz,72
375,Just Couldn't Tie Me Down,The Black Keys,35
376,No Expectations - 50th Anniversary Edition,The Rolling Stones,42
377,Guiding Light,Muse,45
378,Crazy Little Thing Called Love - Live,Queen,33
379,Leave My Woman Alone,Ray Charles,36
380,Troika From Lieutenant Kizheh,Mannheim Steamroller,2
381,Twisted Logic,Coldplay,45
382,Obsessed,Mariah Carey,65
383,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,73
384,"Oh Yeah, You're Gone",Brad Paisley,21
385,New Divide,Linkin Park,67
386,High Life,Daft Punk,54
387,Tomorrow - Remastered 2008,U2,28
388,I Only Wanted,Mariah Carey,29
389,Where The Streets Have No Name - Remastered,U2,66
390,All I Do Is Dream of You,Michael Bublé,40
391,ASAP,T.I.,46
392,Sway - Ralphi Rosario's Salsation Vox Mix,Michael Bublé,14
393,Huckleberry Jam,Brad Paisley,19
394,Somebody Knows You Now,Brad Paisley,25
395,Brain Stew,Green Day,66
396,Sirena,Enrique Iglesias,35
397,The Forecast,Jason Mraz,24
398,That's All,Michael Bublé,41
399,Throw Yourself Away,Nickelback,35
400,It's A New Day (Part 1 and 2),James Brown,11
401,Down the Street to 301 - Original Mix,Johnny Cash,0
402,Hyper Chondriac Music,Muse,33
403,No Line On The Horizon,U2,40
404,The Gay Robot Groove - Eddie Baez Mix,Adam Sandler,2
405,You've Got a New Light Shining in Your Eyes,Johnny Cash,16
406,Instant Karma,U2,26
407,Yellow,Coldplay,85
408,The Boy's Gone,Jason Mraz,25
