,title,all_artists,popularity
0,Blackberry Cobbler,Paul Overstreet,4
1,Boss Hat,Levitti,0
2,Schießt die Deutschen raus,Mario Lang,0
3,Eeyore and Easel,Braid,2
4,Poison - Radio Edit,Groove Coverage,53
5,My Heart Stood Still,Bud Powell,8
6,Wukking Up On Me,Surface (feat. Tony Prescott),4
7,You Made A Change In My Life,The Bar-Kays,12
8,"Lisa, Listen To Me","Blood, Sweat & Tears",34
9,Confessions,Mötley Crüe,20
10,"Rock Of Ages, Hide Me Again",Janet Paschal,2
11,Carry on the Flag,The Casualties,20
12,Puttin' On The Ritz,Taco,38
13,Hallelujah,Fats Waller,11
14,Kill The Music Industry,Cold,23
15,In Heaven's Eyes - For A Time Like This Album Version,Sheila Walsh,1
16,Knowledge Of Evil,David Vandervelde,1
17,Sirppi,Mokoma,5
18,Minha Superstar,Erasmo Carlos,18
19,Policy of Truth,Depeche Mode,59
20,In Some Other World,Wax,11
21,Kinky - Magic Bells Mix,Pat Krimson,8
22,This Ain't a Love Song,Shihan,6
23,I've Been Wrong Before,The Untamed Youth,0
24,Customer Service,Stroke 9,0
25,When Your Heart Stops Beating,+44,55
26,Lit De Parade - Video Edit,Anders Hansson,30
27,J'suis comme toi,Mil,0
28,Battle Royal,The Philip Morris Superband,4
29,Protector,Killers,0
30,Love Hurts,Minnie Riperton,11
31,Get Yo Grind On,Rob Gold,0
32,Yekermo Sew,Mulatu Astatke,13
33,Borrame De Tu Memoria,Camaron De La Isla,8
34,Give A Little,George Nooks,0
35,That Empty Space,Infinito 2017,0
36,Samedi's Cookbook - Remastered,Thee Hypnotics,0
37,Regulo 7,Moose,4
38,Try It - US Remix,Black Uhuru,5
39,Crazy Things,Wig Wam,14
40,Born to Lose - live Paris '77,Johnny Thunders & The Heartbreakers,0
41,Beautiful People,Melanie,39
42,Nessuna letargia,Recondita Stirpe,0
43,Now Or Never,Namnambulu,17
44,What You Gonna Do When The World's On Fire,Birmingham Jubilee Singers,0
45,Julia,Johnny Dorelli,0
46,Daydreams,Future Prophecy,0
47,The LSB,Make Model,0
48,Earth Protector - Original Mix,Kamil Polner,0
49,Would You Still Be the One in My Heart,Sonny Til and The Orioles,0
50,Eaux Trouble,Terence Fixmer,0
51,Outro,Illuminate,0
52,Granada (remastered),Gloria Lasso,2
53,Breaking Me Down,Vick Allen,5
