,title,all_artists,popularity
0,This Dance,Counterfit,4
1,Auto Hag,Pigface,0
2,Mourning Breath,Watchmaker,0
3,Into the Night,The Thunderbirds,1
4,Frühling,Keimzeit,7
5,Not Anyone,Black Box,17
6,Thinking About Tomorrow,Beth Orton,30
7,Fecund,Eat,2
8,What You Have Done,Ras Shiloh,2
9,Everything,Safri Duo,26
10,Distant Voices,The Farm,1
11,We Get Cheddtah,T-Nutty,0
12,Super Cheer,Raymond Scott,7
13,Reformed Asshole,Drunk Horse,1
14,Black Letter Day,The Cardigans,25
15,"Tape - Live At The Palace, Auburn Hills, Michigan",The Cure,17
16,Love Story (Taylor’s Version),Taylor Swift,72
17,All To You,Ellen McIlwaine,15
18,The Funeral,Band of Horses,69
19,No Calming Ride,Roebeck,0
20,When You Say Nothing At All,Paul Overstreet,16
21,Same Book/New Pages,Anubis Spire,0
22,Peace Lies Waiting,Wild Strawberries,0
23,Do You Know,The Nimmo Brothers,1
24,Let's Go Crazy,Prince,61
25,The Planets Bend Between Us,Snow Patrol,33
26,Savoir Aimer,Nana Mouskouri,4
27,Elevator Music 9,Jah Wobble,0
28,Me And The Dog Gone Blues,Vassar Clements,0
29,Smooth Operator,Señor Coconut,30
30,But For Eternity - Live,Lisa McClendon,14
31,Burgandy,Common Rotation,0
32,Hell Toupèe,Turbonegro,21
33,Hands Of The Healer,John Waller,16
34,En Kjempeshow Person,Jokke med Tourettes,11
35,Bandshirt And A Cap,Side Effect,0
36,Moving Along,Ernie Halter,4
37,Stompin' At The Savoy,Louis Armstrong,28
38,Harbor Song,Suzanne Vega,11
39,Under Pressure,David Bowie,58
40,Pathetica,New Duncan Imperials,0
41,Fool,Daniel Lemma,2
42,Lloré Lloré,Víctor Manuelle,27
43,Chega De Saudade - Live,Antônio Carlos Jobim,24
44,Strutting on the Strings,The Country Gentlemen,1
45,In the Day We'll Never See,Winger,17
46,Fire Child - 2001 Remastered Version,Bruce Dickinson,17
47,It's Time for Me to Live - Classic Pianopella,Solution,0
48,You Shall See,G. Love & Special Sauce,12
49,The Compound,Harry Gregson-Williams,2
50,The Girls,Calvin Harris,47
51,Hold On Tight,Grey Area,7
52,So Simon,Ocha la Rocha,0
53,Tennessee Waltz,Patti Page,54
54,Lost - Robin´s Song (Chapter V),Haggard,28
