,category,nominee,artist,workers
0,Record Of The Year,Bad Guy,Billie Eilish,"Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; John Greenham, mastering engineer"
1,Record Of The Year,"Hey, Ma",Bon Iver,"BJ Burton, Brad Cook, Chris Messina & Justin Vernon, producers; BJ Burton, Zach Hanson & Chris Messina, engineers/mixers; Greg Calbi, mastering engineer"
2,Record Of The Year,7 rings,Ariana Grande,"Charles Anderson, Tommy Brown, Michael Foster & Victoria Monet, producers; Serban Ghenea, John Hanes, Billy Hickey & Brendan Morawski, engineers/mixers; Randy Merrill, mastering engineer"
3,Record Of The Year,Hard Place,H.E.R.,"Rodney “Darkchild” Jerkins, producer; Joseph Hurtado, Jaycen Joshua, Derek Keota & Miki Tsutsumi, engineers/mixers; Colin Leonard, mastering engineer"
4,Record Of The Year,Talk,Khalid,"Disclosure & Denis Kosiak, producers; Ingmar Carlson, Jon Castelli, Josh Deguzman, John Kercy, Denis Kosiak, Guy Lawrence & Michael Romero, engineers/mixers; Dale Becker, mastering engineer"
5,Record Of The Year,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,"Andrew ""VoxGod"" Bolooki, Jocelyn “Jozzy” Donald & YoungKio, producers; Andrew ""VoxGod"" Bolooki, Cinco & Joe Grasso, engineers/mixers; Eric Lagg, mastering engineer"
6,Record Of The Year,Truth Hurts,Lizzo,"Ricky Reed & Tele, producers; Chris Galland, Manny Marroquin & Ethan Shumaker, engineers/mixers; Chris Gehringer, mastering engineer"
7,Record Of The Year,Sunflower,Post Malone & Swae Lee,"Louis Bell & Carter Lang, producers; Louis Bell & Manny Marroquin, engineers/mixers; Mike Bozzi, mastering engineer"
8,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,"Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; Billie Eilish O'Connell & Finneas O'Connell, songwriters; John Greenham, mastering engineer"
9,Album Of The Year,"I,I",Bon Iver,"Brad Cook, Chris Messina & Justin Vernon, producers; Zach Hanson & Chris Messina, engineers/mixers; BJ Burton, Brad Cook & Justin Vernon, songwriters; Greg Calbi, mastering engineer"
10,Album Of The Year,Norman F***ing Rockwell!,Lana Del Rey,"Jack Antonoff & Lana Del Rey, producers; Jack Antonoff & Laura Sisk, engineers/mixers; Jack Antonoff & Lana Del Rey, songwriters; Chris Gehringer, mastering engineer"
11,Album Of The Year,"thank u, next",Ariana Grande,"Tommy Brown, Ilya, Max Martin & Victoria Monet, producers; Serban Ghenea, Sam Holland & Brendan Morawski, engineers/mixers; Tommy Brown, Ariana Grande, Savan Kotecha, Max Martin, Victoria Monet, Tayla Parx & Ilya Salmanzadeh, songwriters; Randy Merrill, mastering engineer"
12,Album Of The Year,I Used To Know Her,H.E.R.,"David ""Swagg R'Celious"" Harris, H.E.R., Walter Jones & Jeff Robinson, producers; Miki Tsutsumi, engineer/mixer; Sam Ashworth, Jeff “Gitty” Gitelman, David ""Swagg R'Celious"" Harris & H.E.R., songwriters; Dave Kutch, mastering engineer"
13,Album Of The Year,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer"
14,Album Of The Year,Cuz I Love You (Deluxe),Lizzo,"Ricky Reed, producer; Manny Marroquin & Ethan Shumaker, engineers/mixers; Eric Frederic & Melissa Jefferson, songwriters; Chris Gehringer, mastering engineer"
15,Album Of The Year,Father Of The Bride,Vampire Weekend,"Ezra Koenig & Ariel Rechtshaid, producers; John DeBold, Chris Kasych, Takemasa Kosaka, Ariel Rechtshaid & Hiroya Takayama, engineers/mixers; Ezra Koenig, songwriter; Emily Lazar, mastering engineer"
16,Song Of The Year,Bad Guy,,"Billie Eilish O'Connell & Finneas O'Connell, songwriters (Billie Eilish)"
17,Song Of The Year,Always Remember Us This Way,,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)"
18,Song Of The Year,Bring My Flowers Now,,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)"
19,Song Of The Year,Hard Place,,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris, H.E.R. & Rodney Jerkins, songwriters (H.E.R.)"
20,Song Of The Year,Lover,,"Taylor Swift, songwriter (Taylor Swift)"
21,Song Of The Year,Norman F***ing Rockwell,,"Jack Antonoff & Lana Del Rey, songwriters (Lana Del Rey)"
22,Song Of The Year,Someone You Loved,,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)"
23,Song Of The Year,Truth Hurts,,"Steven Cheung, Eric Frederic, Melissa Jefferson & Jesse Saint John, songwriters (Lizzo)"
24,Best New Artist,Billie Eilish,,
25,Best New Artist,Black Pumas,,
26,Best New Artist,Lil Nas X,,
27,Best New Artist,Lizzo,,
28,Best New Artist,Maggie Rogers,,
29,Best New Artist,ROSALÍA,,
30,Best New Artist,Tank And The Bangas,,
31,Best New Artist,Yola,,
32,Best Pop Solo Performance,Truth Hurts,Lizzo,
33,Best Pop Solo Performance,Spirit,Beyoncé,
34,Best Pop Solo Performance,Bad Guy,Billie Eilish,
35,Best Pop Solo Performance,7 rings,Ariana Grande,
36,Best Pop Solo Performance,You Need To Calm Down,Taylor Swift,
37,Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,
38,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,
39,Best Pop Duo/Group Performance,Sucker,Jonas Brothers,
40,Best Pop Duo/Group Performance,Sunflower,Post Malone & Swae Lee,
41,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,
42,Best Traditional Pop Vocal Album,Look Now,Elvis Costello & The Imposters,
43,Best Traditional Pop Vocal Album,Sì,Andrea Bocelli,
44,Best Traditional Pop Vocal Album,Love (Deluxe Edition),Michael Bublé,
45,Best Traditional Pop Vocal Album,A Legendary Christmas,John Legend,
46,Best Traditional Pop Vocal Album,Walls,Barbra Streisand,
47,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,
48,Best Pop Vocal Album,The Lion King: The Gift,Beyoncé,
49,Best Pop Vocal Album,"thank u, next",Ariana Grande,
50,Best Pop Vocal Album,No.6 Collaborations Project,Ed Sheeran,
51,Best Pop Vocal Album,Lover,Taylor Swift,
52,Best Dance Recording,Got To Keep On,The Chemical Brothers,"The Chemical Brothers, producers; Steve Dub Jones & Tom Rowlands, mixers"
53,Best Dance Recording,Linked,Bonobo,"Simon Green, producer; Simon Green & Frank Merritt, mixers"
54,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,"Simone Giani, Luca De Gregorio & Mattia Vitale, producers; Simone Giani, Luca De Gregorio & Mattia Vitale, mixers"
55,Best Dance Recording,Underwater,RÜFÜS DU SOL,"Jason Evigan & RÜFÜS DU SOL, producers; Cassian Stewart-Kasimba, mixer"
56,Best Dance Recording,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign","Boys Noize & Skrillex, producers; Tom Norris & Skrillex, mixers"
57,Best Dance/Electronic Album,No Geography,The Chemical Brothers,
58,Best Dance/Electronic Album,LP5,Apparat,
59,Best Dance/Electronic Album,Hi This Is Flume (Mixtape),Flume,
60,Best Dance/Electronic Album,SOLACE,RÜFÜS DU SOL,
61,Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,
62,Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,
63,Best Contemporary Instrumental Album,Ancestral Recall,Christian Scott aTunde Adjuah,
64,Best Contemporary Instrumental Album,Star People Nation,Theo Croker,
65,Best Contemporary Instrumental Album,Beat Music! Beat Music! Beat Music!,Mark Guiliana,
66,Best Contemporary Instrumental Album,Elevate,Lettuce,
67,Best Rock Performance,This Land,Gary Clark Jr.,
68,Best Rock Performance,Pretty Waste,Bones UK,
69,Best Rock Performance,History Repeats,Brittany Howard,
70,Best Rock Performance,Woman,Karen O & Danger Mouse,
71,Best Rock Performance,Too Bad,Rival Sons,
72,Best Metal Performance,7empest,Tool,
73,Best Metal Performance,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,
74,Best Metal Performance,Humanicide,Death Angel,
75,Best Metal Performance,Bow Down,I Prevail,
76,Best Metal Performance,Unleashed,Killswitch Engage,
77,Best Rock Song,This Land,,"Gary Clark Jr., songwriter (Gary Clark Jr.)"
78,Best Rock Song,Fear Inoculum,,"Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)"
79,Best Rock Song,Give Yourself A Try,,"George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)"
80,Best Rock Song,Harmony Hall,,"Ezra Koenig, songwriter (Vampire Weekend)"
81,Best Rock Song,History Repeats,,"Brittany Howard, songwriter (Brittany Howard)"
82,Best Rock Album,Social Cues,Cage The Elephant,
83,Best Rock Album,amo,Bring Me The Horizon,
84,Best Rock Album,In The End,The Cranberries,
85,Best Rock Album,Trauma,I Prevail,
86,Best Rock Album,Feral Roots,Rival Sons,
87,Best Alternative Music Album,Father Of The Bride,Vampire Weekend,
88,Best Alternative Music Album,U.F.O.F.,Big Thief,
89,Best Alternative Music Album,Assume Form,James Blake,
90,Best Alternative Music Album,"I,I",Bon Iver,
91,Best Alternative Music Album,Anima,Thom Yorke,
92,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,
93,Best R&B Performance,Love Again,Daniel Caesar & Brandy,
94,Best R&B Performance,Could've Been,H.E.R. Featuring Bryson Tiller,
95,Best R&B Performance,Exactly How I Feel,Lizzo Featuring Gucci Mane,
96,Best R&B Performance,Roll Some Mo,Lucky Daye,
97,Best Traditional R&B Performance,Jerome,Lizzo,
98,Best Traditional R&B Performance,Time Today,BJ The Chicago Kid,
99,Best Traditional R&B Performance,Steady Love,India.Arie,
100,Best Traditional R&B Performance,Real Games,Lucky Daye,
101,Best Traditional R&B Performance,Built For Love,PJ Morton Featuring Jazmine Sullivan,
102,Best R&B Song,Say So,,"PJ Morton, songwriter (PJ Morton Featuring JoJo)"
103,Best R&B Song,Could've Been,,"Dernst Emile II, David “Swagg R’Celious” Harris, H.E.R. & Hue “Soundzfire” Strother, songwriters (H.E.R. Featuring Bryson Tiller)"
104,Best R&B Song,Look At Me Now,,"Emily King & Jeremy Most, songwriters (Emily King)"
105,Best R&B Song,No Guidance,,"Chris Brown, Tyler James Bryant, Nija Charles, Aubrey Graham, Anderson Hernandez, Joshua Huizar, Michee Patrick Lebrun, Noah Shebib & Teddy Walton, songwriters (Chris Brown Featuring Drake)"
106,Best R&B Song,Roll Some Mo,,"David Brown, Dernst Emile II & Peter Lee Johnson, songwriters (Lucky Daye)"
107,Best Urban Contemporary Album,Cuz I Love You (Deluxe),Lizzo,
108,Best Urban Contemporary Album,Apollo XXI,Steve Lacy,
109,Best Urban Contemporary Album,Overload,Georgia Anne Muldrow,
110,Best Urban Contemporary Album,Saturn,NAO,
111,Best Urban Contemporary Album,Being Human In Public,Jessie Reyez,
112,Best R&B Album,Ventura,Anderson .Paak,
113,Best R&B Album,1123,BJ The Chicago Kid,
114,Best R&B Album,Painted,Lucky Daye,
115,Best R&B Album,Ella Mai,Ella Mai,
116,Best R&B Album,Paul,PJ Morton,
117,Best Rap Performance,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,
118,Best Rap Performance,Middle Child,J. Cole,
119,Best Rap Performance,Suge,DaBaby,
120,Best Rap Performance,Down Bad,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",
121,Best Rap Performance,Clout,Offset Featuring Cardi B,
122,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,
123,Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,
124,Best Rap/Sung Performance,Panini,Lil Nas X,
125,Best Rap/Sung Performance,Ballin',Mustard Featuring Roddy Ricch,
126,Best Rap/Sung Performance,The London,Young Thug Featuring J. Cole & Travis Scott,
127,Best Rap Song,A Lot,,"Jermaine Cole, Dacoury Natche, 21 Savage & Anthony White, songwriters (21 Savage Featuring J. Cole)"
128,Best Rap Song,Bad Idea,,"Chancelor Bennett, Cordae Dunston, Uforo Ebong & Daniel Hackett, songwriters (YBN Cordae Featuring Chance The Rapper)"
129,Best Rap Song,Gold Roses,,"Noel Cadastre, Aubrey Graham, Anderson Hernandez, Khristopher Riddick-Tynes, William Leonard Roberts II, Joshua Quinton Scruggs, Leon Thomas III & Ozan Yildirim, songwriters (Rick Ross Featuring Drake)"
130,Best Rap Song,Racks In The Middle,,"Ermias Asghedom, Dustin James Corbett, Greg Allen Davis, Chauncey Hollis, Jr. & Rodrick Moore, songwriters (Nipsey Hussle Featuring Roddy Ricch & Hit-Boy)"
131,Best Rap Song,Suge,,"DaBaby, Jetsonmade & Pooh Beatz, songwriters (DaBaby)"
132,Best Rap Album,Igor,"Tyler, The Creator",
133,Best Rap Album,Revenge Of The Dreamers III,Dreamville,
134,Best Rap Album,Championships,Meek Mill,
135,Best Rap Album,I Am > I Was,21 Savage,
136,Best Rap Album,The Lost Boy,YBN Cordae,
137,Best Country Solo Performance,Ride Me Back Home,Willie Nelson,
138,Best Country Solo Performance,All Your’n,Tyler Childers,
139,Best Country Solo Performance,Girl Goin' Nowhere,Ashley McBryde,
140,Best Country Solo Performance,God's Country,Blake Shelton,
141,Best Country Solo Performance,Bring My Flowers Now,Tanya Tucker,
142,Best Country Duo/Group Performance,Speechless,Dan + Shay,
143,Best Country Duo/Group Performance,Brand New Man,Brooks & Dunn With Luke Combs,
144,Best Country Duo/Group Performance,I Don't Remember Me (Before You),Brothers Osborne,
145,Best Country Duo/Group Performance,The Daughters,Little Big Town,
146,Best Country Duo/Group Performance,Common,Maren Morris Featuring Brandi Carlile,
147,Best Country Song,Bring My Flowers Now,,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)"
148,Best Country Song,Girl Goin' Nowhere,,"Jeremy Bussey & Ashley McBryde, songwriters (Ashley McBryde)"
149,Best Country Song,It All Comes Out In The Wash,,"Miranda Lambert, Hillary Lindsey, Lori McKenna & Liz Rose, songwriters (Miranda Lambert)"
150,Best Country Song,Some Of It,,"Eric Church, Clint Daniels, Jeff Hyde & Bobby Pinson, songwriters (Eric Church)"
151,Best Country Song,Speechless,,"Shay Mooney, Jordan Reynolds, Dan Smyers & Laura Veltz, songwriters (Dan + Shay)"
152,Best Country Album,While I'm Livin',Tanya Tucker,
153,Best Country Album,Desperate Man,Eric Church,
154,Best Country Album,Stronger Than The Truth,Reba McEntire,
155,Best Country Album,Interstate Gospel,Pistol Annies,
156,Best Country Album,Center Point Road,Thomas Rhett,
157,Best New Age Album,Wings,Peter Kater,
158,Best New Age Album,Fairy Dreams,David Arkenstone,
159,Best New Age Album,Homage To Kindness,David Darling,
160,Best New Age Album,Verve,Sebastian Plano,
161,Best New Age Album,Deva,Deva Premal,
162,Best Improvised Jazz Solo,Sozinho,,"Randy Brecker, soloist"
163,Best Improvised Jazz Solo,Elsewhere,,"Melissa Aldana, soloist"
164,Best Improvised Jazz Solo,Tomorrow Is The Question,,"Julian Lage, soloist"
165,Best Improvised Jazz Solo,The Windup,,"Branford Marsalis, soloist"
166,Best Improvised Jazz Solo,Sightseeing,,"Christian McBride, soloist"
167,Best Jazz Vocal Album,12 Little Spells,Esperanza Spalding,
168,Best Jazz Vocal Album,Thirsty Ghost,Sara Gazarek,
169,Best Jazz Vocal Album,Love & Liberation,Jazzmeia Horn,
170,Best Jazz Vocal Album,Alone Together,Catherine Russell,
171,Best Jazz Vocal Album,Screenplay,Tierney Sutton Band,
172,Best Jazz Instrumental Album,Finding Gabriel,Brad Mehldau,
173,Best Jazz Instrumental Album,In The Key Of The Universe,Joey DeFrancesco,
174,Best Jazz Instrumental Album,The Secret Between The Shadow And The Soul,Branford Marsalis Quartet,
175,Best Jazz Instrumental Album,Christian McBride's New Jawn,Christian McBride’s New Jawn,
176,Best Jazz Instrumental Album,Come What May,Joshua Redman Quartet,
177,Best Large Jazz Ensemble Album,The Omni-American Book Club,Brian Lynch Big Band,
178,Best Large Jazz Ensemble Album,Triple Helix,Anat Cohen Tentet,
179,Best Large Jazz Ensemble Album,Dancer In Nowhere,Miho Hazama,
180,Best Large Jazz Ensemble Album,Hiding Out,Mike Holober & The Gotham Jazz Orchestra,
181,Best Large Jazz Ensemble Album,One Day Wonder,Terraza Big Band,
182,Best Latin Jazz Album,Antidote,Chick Corea & The Spanish Heart Band,
183,Best Latin Jazz Album,Sorte!: Music By John Finbury,"Thalma de Freitas With Vitor Gonçalves, John Patitucci, Chico Pinheiro, Rogerio Boccato & Duduka Da Fonseca",
184,Best Latin Jazz Album,Una Noche Con Rubén Blades,Jazz At Lincoln Center Orchestra With Wynton Marsalis Featuring Rubén Blades,
185,Best Latin Jazz Album,Carib,David Sánchez,
186,Best Latin Jazz Album,Sonero: The Music Of Ismael Rivera,Miguel Zenón,
187,Best Gospel Performance/Song,Love Theory,,"Kirk Franklin; Kirk Franklin, songwriter"
188,Best Gospel Performance/Song,Talkin' 'Bout Jesus,,"Gloria Gaynor Featuring Yolanda Adams; Bryan Fowler, Gloria Gaynor & Chris Stevens, songwriters"
189,Best Gospel Performance/Song,See The Light,,Travis Greene Featuring Jekalyn Carr
190,Best Gospel Performance/Song,Speak The Name,,Koryn Hawthorne Featuring Natalie Grant
191,Best Gospel Performance/Song,This Is A Move (Live),,"Tasha Cobbs Leonard; Tony Brown, Brandon Lake, Tasha Cobbs Leonard & Nate Moore, songwriters"
192,Best Contemporary Christian Music Performance/Song,God Only Knows,,"for KING & COUNTRY & Dolly Parton; Josh Kerr, Jordan Reynolds, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, songwriters"
193,Best Contemporary Christian Music Performance/Song,Only Jesus,,"Casting Crowns; Mark Hall, Bernie Herms & Matthew West, songwriters"
194,Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,,"Danny Gokey; Danny Gokey, Ethan Hulse & Colby Wedgeworth, songwriters"
195,Best Contemporary Christian Music Performance/Song,God's Not Done With You (Single Version),,Tauren Wells
196,Best Contemporary Christian Music Performance/Song,Rescue Story,,"Zach Williams; Ethan Hulse, Andrew Ripp, Jonathan Smith & Zach Williams, songwriters"
197,Best Gospel Album,Long Live Love,Kirk Franklin,
198,Best Gospel Album,Goshen,Donald Lawrence Presents The Tri -City Singers,
199,Best Gospel Album,Tunnel Vision,Gene Moore,
200,Best Gospel Album,Settle Here,William Murphy,
201,Best Gospel Album,Something's Happening! A Christmas Album,CeCe Winans,
202,Best Contemporary Christian Music Album,Burn The Ships,for KING & COUNTRY,
203,Best Contemporary Christian Music Album,I Know A Ghost,Crowder,
204,Best Contemporary Christian Music Album,Haven't Seen It Yet,Danny Gokey,
205,Best Contemporary Christian Music Album,The Elements,TobyMac,
206,Best Contemporary Christian Music Album,Holy Roar,Chris Tomlin,
207,Best Roots Gospel Album,Testimony,Gloria Gaynor,
208,Best Roots Gospel Album,Deeper Roots: Where The Bluegrass Grows,Steven Curtis Chapman,
209,Best Roots Gospel Album,Deeper Oceans,Joseph Habedank,
210,Best Roots Gospel Album,His Name Is Jesus,Tim Menzies,
211,Best Roots Gospel Album,"Gonna Sing, Gonna Shout",(Various Artists),"Jerry Salley, Producer"
212,Best Latin Pop Album,#Eldisco,Alejandro Sanz,
213,Best Latin Pop Album,Vida,Luis Fonsi,
214,Best Latin Pop Album,11:11,Maluma,
215,Best Latin Pop Album,Montaner,Ricardo Montaner,
216,Best Latin Pop Album,Fantasia,Sebastian Yatra,
217,"Best Latin Rock, Urban or Alternative Album",El Mal Querer,ROSALÍA,
218,"Best Latin Rock, Urban or Alternative Album",X 100Pre,Bad Bunny,
219,"Best Latin Rock, Urban or Alternative Album",Oasis,J Balvin & Bad Bunny,
220,"Best Latin Rock, Urban or Alternative Album",Indestructible,Flor De Toloache,
221,"Best Latin Rock, Urban or Alternative Album",Almadura,iLe,
222,Best Regional Mexican Music Album (Including Tejano),De Ayer Para Siempre,Mariachi Los Camperos,
223,Best Regional Mexican Music Album (Including Tejano),Caminando,Joss Favela,
224,Best Regional Mexican Music Album (Including Tejano),Percepción,Intocable,
225,Best Regional Mexican Music Album (Including Tejano),Poco A Poco,La Energia Norteña,
226,Best Regional Mexican Music Album (Including Tejano),20 Aniversario,Mariachi Divas De Cindy Shea,
227,Best Tropical Latin Album,Opus,Marc Anthony,
228,Best Tropical Latin Album,A Journey Through Cuban Music,Aymée Nuviola,
229,Best Tropical Latin Album,Tiempo Al Tiempo,Luis Enrique + C4 Trio,
230,Best Tropical Latin Album,Candela,Vicente García,
231,Best Tropical Latin Album,Literal,Juan Luis Guerra 4.40,
232,Best American Roots Performance,Saint Honesty,Sara Bareilles,
233,Best American Roots Performance,Father Mountain,Calexico And Iron & Wine,
234,Best American Roots Performance,I'm On My Way,Rhiannon Giddens with Francesco Turrisi,
235,Best American Roots Performance,Call My Name,I'm With Her,
236,Best American Roots Performance,Faraway Look,Yola,
237,Best American Roots Song,Call My Name,,"Sarah Jarosz, Aoife O'Donovan & Sara Watkins, songwriters (I'm With Her)"
238,Best American Roots Song,Black Myself,,"Amythyst Kiah, songwriter (Our Native Daughters)"
239,Best American Roots Song,Crossing To Jerusalem,,"Rosanne Cash & John Leventhal, songwriters (Rosanne Cash)"
240,Best American Roots Song,Faraway Look,,"Dan Auerbach, Pat McLaughlin & Yola, songwriters (Yola)"
241,Best American Roots Song,I Don't Wanna Ride The Rails No More,,"Vince Gill, songwriter (Vince Gill)"
242,Best Americana Album,Oklahoma,Keb' Mo',
243,Best Americana Album,Years To Burn,Calexico And Iron & Wine,
244,Best Americana Album,Who Are You Now,Madison Cunningham,
245,Best Americana Album,Tales Of America,J.S. Ondara,
246,Best Americana Album,Walk Through Fire,Yola,
247,Best Bluegrass Album,Tall Fiddler,Michael Cleveland,
248,Best Bluegrass Album,"Live In Prague, Czech Republic",Doyle Lawson & Quicksilver,
249,Best Bluegrass Album,"Toil, Tears & Trouble",The Po’ Ramblin’ Boys,
250,Best Bluegrass Album,Royal Traveller,Missy Raines,
251,Best Bluegrass Album,If You Can't Stand The Heat,Frank Solivan & Dirty Kitchen,
252,Best Traditional Blues Album,"Tall, Dark, & Handsome",Delbert McClinton & Self-Made Men + Dana,
253,Best Traditional Blues Album,Kingfish,"Christone ""Kingfish"" Ingram",
254,Best Traditional Blues Album,Sitting On Top Of The Blues,Bobby Rush,
255,Best Traditional Blues Album,"Baby, Please Come Home",Jimmie Vaughan,
256,Best Traditional Blues Album,Spectacular Class,Jontavious Willis,
257,Best Contemporary Blues Album,This Land,Gary Clark Jr.,
258,Best Contemporary Blues Album,Venom & Faith,Larkin Poe,
259,Best Contemporary Blues Album,Brighter Days,Robert Randolph & The Family Band,
260,Best Contemporary Blues Album,Somebody Save Me,Sugaray Rayford,
261,Best Contemporary Blues Album,Keep On,Southern Avenue,
262,Best Folk Album,Patty Griffin,Patty Griffin,
263,Best Folk Album,My Finest Work Yet,Andrew Bird,
264,Best Folk Album,Rearrange My Heart,Che Apalache,
265,Best Folk Album,Evening Machines,Gregory Alan Isakov,
266,Best Folk Album,Front Porch,Joy Williams,
267,Best Regional Roots Music Album,Good Time,Ranky Tanky,
268,Best Regional Roots Music Album,Kalawai’anui,Amy Hānaiali’i,
269,Best Regional Roots Music Album,When It's Cold - Cree Round Dance Songs,Northern Cree,
270,Best Regional Roots Music Album,Recorded Live At The 2019 New Orleans Jazz & Heritage Festival,Rebirth Brass Band,
271,Best Regional Roots Music Album,Hawaiian Lullaby,(Various Artists),"Imua Garza & Kimié Miner, producers"
272,Best Reggae Album,Rapture,Koffee,
273,Best Reggae Album,As I Am,Julian Marley,
274,Best Reggae Album,The Final Battle: Sly & Robbie vs. Roots Radics,Sly & Robbie & Roots Radics,
275,Best Reggae Album,Mass Manipulation,Steel Pulse,
276,Best Reggae Album,More Work To Be Done,Third World,
277,Best World Music Album,Celia,Angelique Kidjo,
278,Best World Music Album,Gece,Altin Gün,
279,Best World Music Album,What Heat,Bokanté & Metropole Orkest Conducted By Jules Buckley,
280,Best World Music Album,African Giant,Burna Boy,
281,Best World Music Album,Fanm D'ayiti,Nathalie Joachim With Spektral Quartet,
282,Best Children's Music Album,Ageless: Songs for the Child Archetype,Jon Samson,
283,Best Children's Music Album,Flying High!,Caspar Babypants,
284,Best Children's Music Album,I Love Rainy Days,Daniel Tashian,
285,Best Children's Music Album,The Love,Alphabet Rockers,
286,Best Children's Music Album,Winterland,The Okee Dokee Brothers,
287,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Becoming,Michelle Obama,
288,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Beastie Boys Book,(Various Artists),"Michael Diamond, Adam Horovitz, Scott Sherratt & Dan Zitt, producers"
289,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",I.V. Catatonia: 20 Years As A Two-Time Cancer Survivor,Eric Alexandrakis,
290,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Mr. Know-It-All,John Waters,
291,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Sekou Andrews & The String Theory,Sekou Andrews (& The String Theory),
292,Best Comedy Album,Sticks & Stones,Dave Chappelle,
293,Best Comedy Album,Quality Time,Jim Gaffigan,
294,Best Comedy Album,Relatable,Ellen DeGeneres,
295,Best Comedy Album,Right Now,Aziz Ansari,
296,Best Comedy Album,Son Of Patricia,Trevor Noah,
297,Best Musical Theater Album,Hadestown,,"Reeve Carney, André De Shields, Amber Gray, Eva Noblezada & Patrick Page, principal soloists; Mara Isaacs, David Lai, Anaïs Mitchell & Todd Sickafoose, producers (Anaïs Mitchell, composer & lyricist) (Original Broadway Cast)"
298,Best Musical Theater Album,Ain't Too Proud: The Life And Times Of The Temptations,,"Saint Aubyn, Derrick Baskin, James Harkness, Jawan M. Jackson, Jeremy Pope & Ephraim Sykes, principal soloists; Scott M. Riesett, producer (Original Broadway Cast)"
299,Best Musical Theater Album,Moulin Rouge! The Musical,,"Danny Burstein, Tam Mutu, Sahr Ngaujah, Karen Olivo & Aaron Tveit, principal soloists; Justin Levine, Baz Luhrmann, Matt Stine & Alex Timbers, producers (Original Broadway Cast)"
300,Best Musical Theater Album,The Music Of Harry Potter And The Cursed Child - In Four Contemporary Suites,,"Imogen Heap, producer; Imogen Heap, composer (Imogen Heap)"
301,Best Musical Theater Album,Oklahoma!,,"Damon Daunno, Rebecca Naomi Jones, Ali Stroker, Mary Testa & Patrick Vaill, principal soloists; Daniel Kluger & Dean Sharenow, producers (Richard Rodgers, composer; Oscar Hammerstein II, lyricist) (2019 Broadway Cast)"
302,Best Compilation Soundtrack For Visual Media,A Star Is Born,Lady Gaga & Bradley Cooper,"Paul “DJWS” Blair, Bradley Cooper, Lady Gaga, Nick Monson, Lukas Nelson, Mark Nilan Jr. & Benjamin Rice, compilation producers; Julianne Jordan & Julia Michels, music supervisors"
303,Best Compilation Soundtrack For Visual Media,The Lion King: The Songs,(Various Artists),"Jon Favreau & Hans Zimmer, compilation producers"
304,Best Compilation Soundtrack For Visual Media,Quentin Tarantino's Once Upon A Time In Hollywood,(Various Artists),"Quentin Tarantino, compilation producer; Mary Ramos, music supervisor"
305,Best Compilation Soundtrack For Visual Media,Rocketman,Taron Egerton,"Giles Martin, compilation producer"
306,Best Compilation Soundtrack For Visual Media,Spider-Man: Into The Spider-Verse,(Various Artists),"Spring Aspers & Dana Sano, compilation producers; Kier Lehman, music supervisor"
307,Best Score Soundtrack For Visual Media,Chernobyl,,"Hildur Guðnadóttir, composer"
