,category,nominee,artist,workers
3762,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Isaac Stern 60th Anniversary Celebration,,"Itzhak Perlman, Isaac Stern & Pinchas Zukerman, artists (New York Philharmonic)"
3763,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),The Horowitz Concerts 1979/80,,"Vladimir Horowitz, artist"
3764,Best Classical Vocal Soloist Performance,Live From Lincoln Center - Sutherland/Horne/Pavarotti,,(Richard Bonynge; New York City Opera Orchestra)
3765,"Best Engineered Recording, Classical",Isaac Stern 60th Anniversary Celebration,,"Edward (Bud) T. Graham, Andrew Kazdin & Ray Moore, engineers (Zubin Mehta, conductor; Isaac Stern, violin; Pinchas Zukerman, violin; Itzhak Perlman, violin)"
3766,Classical Producer Of The Year,James Mallinson,,
3767,Record Of The Year,Sailing,Christopher Cross,"Michael Omartian, producer"
3768,Album Of The Year,Christopher Cross,Christopher Cross,"Michael Omartian, producer"
3769,Song Of The Year,Sailing,,"Christopher Cross, songwriter (Christopher Cross)"
3770,Best New Artist,Christopher Cross,,
3771,"Best Pop Vocal Performance, Female",The Rose,Bette Midler,
3772,"Best Pop Vocal Performance, Male",This Is It,Kenny Loggins,
3773,Best Pop Performance By A Duo Or Group With Vocal,Guilty,Barbra Streisand & Barry Gibb,
3774,Best Pop Instrumental Performance,One On One,Bob James & Earl Klugh,
3775,"Best Rock Vocal Performance, Female",Crimes Of Passion,Pat Benatar,
3776,"Best Rock Vocal Performance, Male",Glass Houses,Billy Joel,
3777,Best Rock Performance By A Duo Or Group With Vocal,Against The Wind,Bob Seger & The Silver Bullet Band,
3778,Best Rock Instrumental Performance,Reggatta De Blanc,The Police,
3779,"Best R&B Vocal Performance, Female",Never Knew Love Like This Before,Stephanie Mills,
3780,"Best R&B Vocal Performance, Male",Give Me The Night,George Benson,
3781,Best R&B Performance By A Duo Or Group With Vocal,Shining Star,Manhattans,
3782,Best R&B Instrumental Performance,Off Broadway,George Benson,
3783,Best Rhythm & Blues Song,Never Knew Love Like This Before,,"Reggie Lucas & James Mtume, songwriters (Stephanie Mills)"
3784,"Best Jazz Fusion Performance, Vocal Or Istrumental",Birdland,The Manhattan Transfer,
3785,"Best Country Vocal Performance, Female",Could I Have This Dance?,Anne Murray,
3786,"Best Country Vocal Performance, Male",He Stopped Loving Her Today,George Jones,
3787,Best Country Performance Duo Or Group,That Lovin' You Feelin' Again,Emmylou Harris & Roy Orbison,
3788,Best Country Instrumental Performance,Orange Blossom Special/Hoedown,Gilley's Urban Cowboy Band,
3789,Best Country Song,On The Road Again,,"Willie Nelson, songwriter (Willie Nelson)"
3790,"Best Gospel Performance, Contemporary Or Inspirational",The Lord's Prayer,"Reba Rambo, Dony McGuire, B.J. Thomas, Andrae Crouch, Walter Hawkins, Tramaine Hawkins, Cynthia Clawson, The Archers",
3791,"Best Gospel Performance, Traditional",We Come To Worship,Blackwood Brothers,
3792,"Best Soul Gospel Performance, Contemporary",Rejoice,Shirley Caesar,
3793,"Best Soul Gospel Performance, Traditional","Lord, Let Me Be An Instrument",James Cleveland & The Charles Fold Singers,
3794,Best Inspirational Performance,With My Song I Will Praise Him,Debby Boone,
