,nominee,artist,prizes
127,Aladdin - Original Motion Picture Soundtrack,(Various Artists),1
128,Alegría,Wayne Shorter,1
129,Ali And Toumani,Ali Farka Touré & Toumani Diabaté,1
130,Alive 2007,Daft Punk,1
131,Alive And Transported,TobyMac,1
132,Alive In South Africa,Israel & New Breed,1
133,All 'n All,"Earth, Wind & Fire",1
134,All Aboard!,John Denver,1
135,All About Bullies... Big And Small,(Various Artists),1
136,All Ashore,Punch Brothers,1
137,All Blues,Tom Scott (GRP All-Star Big Band),1
138,All Fly Home,Al Jarreau,1
139,All For You,Janet Jackson,1
140,All I Need Is You,David Sanborn,1
141,All I Wanna Do,Sheryl Crow,2
142,All In Good Time,Rob McConnell & The Boss Brass,1
143,All In My Love For You,Jimmy Sturr,1
144,All My Life,Foo Fighters,1
145,All My Life,Linda Ronstadt & Aaron Neville,1
146,All Of The Lights,"Kanye West, Rihanna, Kid Cudi & Fergie",1
147,All Out,The Winans,1
148,All That Jazz,Ella Fitzgerald,1
149,All That You Can't Leave Behind,U2,1
150,All The Rage - In Concert Volume One [Live],Rhonda Vincent And The Rage,1
151,All The Sounds,Lucy Kalantari & The Jazz Cats,1
152,All Things New,Steven Curtis Chapman,1
153,All Your’n,Tyler Childers,1
154,Alley Cat,Bent Fabric,1
155,Alma Caribeña,Gloria Estefan,1
156,Almadura,iLe,1
157,Almost Famous,(Various Artists),1
158,Almost Persuaded,David Houston,2
159,Alone,Bill Evans,1
160,Alone In His Presence,CeCe Winans,1
161,Alone Together,Catherine Russell,1
162,Already Free,The Derek Trucks Band,1
163,Alright,Kendrick Lamar,1
164,Alright Again,"Clarence ""Gatemouth"" Brown",1
165,Also Sprach Zarathustra (2001),Eumir Deodato,1
166,Always & Forever,Randy Travis,1
167,Always In My Heart (Siempre En Mi Corazon),Placido Domingo,1
168,Always Looking Up,Michael J. Fox,1
169,Always On My Mind,Willie Nelson,1
170,Always Remember,Andrae Crouch,1
171,Amar Es Combatir,Maná,1
172,Amar Sin Mentiras,Marc Anthony,1
173,Amarantine,Enya,1
174,Amazing Grace,Aretha Franklin,1
175,Amazing Grace,B.J. Thomas,1
176,Amazing Grace,Randy Scruggs,1
177,Amazing Grace - A Country Salute To Gospel,(Various Artists),1
178,Amazing Grace 2 - A Country Salute To Gospel,(Various Artists),1
179,America Again: Re-becoming The Greatness We Never Weren't,Stephen Colbert,1
180,American Boy,Estelle Featuring Kanye West,1
181,"American Dreamers: Voices Of Hope, Music Of Freedom",John Daversa Big Band Featuring DACA Artists,1
182,American Idiot,Green Day,1
183,American Masters - Lou Reed: Rock And Roll Heart,Lou Reed,1
184,American Recordings,Johnny Cash,1
185,American Woman,Lenny Kravitz,1
186,Amor,Jon Secada,1
187,"Amor, Dolor Y Lágrimas: Música Ranchera",Mariachi Los Camperos de Nati Cano,1
188,Amy,Amy Winehouse,1
189,An Evening With Belafonte/Makeba,Harry Belafonte & Miriam Makeba,1
190,An Evening With George Shearing & Mel Tormé,Mel Tormé,1
191,An Evening With Lena Horne,Lena Horne,1
192,An Evening With Mike Nichols And Elaine May,Mike Nichols And Elaine May,1
193,An Inconvenient Truth (Al Gore),"Beau Bridges, Cynthia Nixon & Blair Underwood",1
194,"An Irish Evening - Live At The Grand Opera House, Belfast",The Chieftains,1
195,Anatomy Of A Murder,Duke Ellington,1
196,Ancestral Recall,Christian Scott aTunde Adjuah,1
197,Ancient Tones,Ricky Skaggs & Kentucky Thunder,1
